filename,museum,title,artist,year,price_text,license,auction_price_usd,permalink,id,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories
53162.jpg,"Metropolitan Museum of Art, New York",Tobatsu Bishamonten,Unknown,late 10th–early 11th century,,CC0,,https://www.metmuseum.org/art/collection/search/53162,,,,,,,,,,,,,
544320.jpg,"Metropolitan Museum of Art, New York",Stela of the Steward Mentuwoser,Unknown,ca. 1944 B.C.,,CC0,,https://www.metmuseum.org/art/collection/search/544320,,,,,,,,,,,,,
544453.jpg,"Metropolitan Museum of Art, New York",Head from a Statue of King Amenhotep I,Unknown,ca. 1525–1504 B.C.,,CC0,,https://www.metmuseum.org/art/collection/search/544453,,,,,,,,,,,,,
551786.jpg,"Metropolitan Museum of Art, New York","Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",Unknown,ca. 332–200 B.C.,,CC0,,https://www.metmuseum.org/art/collection/search/551786,,,,,,,,,,,,,
626692.jpg,"Metropolitan Museum of Art, New York",The Jabach Family,Charles Le Brun,ca. 1660,,CC0,,https://www.metmuseum.org/art/collection/search/626692,,,,,,,,,,,,,
643540.jpg,"Metropolitan Museum of Art, New York",Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),ca. 1670s,,CC0,,https://www.metmuseum.org/art/collection/search/643540,,,,,,,,,,,,,
712539.jpg,"Metropolitan Museum of Art, New York",Saint Philip Neri (1515–1595),Carlo Dolci,1645 or 1646,,CC0,,https://www.metmuseum.org/art/collection/search/712539,,,,,,,,,,,,,
761114.jpg,"Metropolitan Museum of Art, New York",Mercury and Cupid,Francesco Fanelli,late 1630s,,CC0,,https://www.metmuseum.org/art/collection/search/761114,,,,,,,,,,,,,
761570.jpg,"Metropolitan Museum of Art, New York",Carlo Rimbotti (1518–1591),Francesco Salviati (Francesco de' Rossi),1548,,CC0,,https://www.metmuseum.org/art/collection/search/761570,,,,,,,,,,,,,
769297.jpg,"Metropolitan Museum of Art, New York",Pope Clement X (1590–1676),Giovanni Battista Gaulli (Il Baciccio),ca. 1670–71,,CC0,,https://www.metmuseum.org/art/collection/search/769297,,,,,,,,,,,,,
838076.jpg,"Metropolitan Museum of Art, New York",Virgin and Child Enthroned,Bohemian Painter,ca. 1345–50,,CC0,,https://www.metmuseum.org/art/collection/search/838076,,,,,,,,,,,,,
aic_24.jpg,aic,Portrait of Edouard Molé,Robert Nanteuil,1653.0,,unknown,,,24.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/5df51c9d-dac5-d962-4d4b-300339219e54/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/24,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_38.jpg,aic,"Portrait of Jacques Nicolas Colbert, Archbishop of Rouen",Pierre Drevet,1699.0,,unknown,,,38.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/8cb1f867-9b6e-c065-f9fd-27273212c050/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/38,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_46.jpg,aic,"Portrait Bust of a Woman with a Large Collar, from Perfect School to Learn How to Draw the Entire Human Body (English translation)",Luca Ciamberlano,1580.0,,unknown,,,46.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/7e00ffbc-16a9-96b9-3da2-f38174cccb5f/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/46,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_58.jpg,aic,"Portrait of a Sixty-year-old Woman, from Recueil d'estampes d'après les plus célèbres tableaux de la Galerie Royale de Dresde",Pieter Tanjé,1753.0,,unknown,,,58.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/529f40db-cec2-b3a4-e955-432bb39372ba/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/58,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_62.jpg,aic,"Head of Executioner, from John Evelyn's Sculptura",Richard Houston,1755.0,,unknown,,,62.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/8317e653-b0eb-3ba3-1886-3141db56f529/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/62,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_63.jpg,aic,Portrait of Don Emanuel Desvalls,Jacob Matthias Schmutzer,1753.0,,unknown,,,63.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/328ad17c-2520-84f9-4525-63a6b29ee90e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/63,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'print', 'prints and drawing']",['Prints and Drawings']
aic_66.jpg,aic,A Young Man Caressing the Young Hostess,Cornelis Pietersz. Bega,1640.0,,unknown,,,66.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/ab1dfe48-14e8-b546-7e35-581c401db240/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/66,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_74.jpg,aic,Three Oriental Figures (Jacob and Laban?),Rembrandt van Rijn,1641.0,,unknown,,,74.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/5a1ce126-9ffd-36d2-21f1-21c667c4241c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/74,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing', 'paper']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing', 'ink', 'paper']",['Prints and Drawings']
aic_75.jpg,aic,Portrait of Rembrandt,Georg Friedrich Schmidt,1771.0,,unknown,,,75.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/f6358788-b2de-2185-07a6-04da4d152410/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/75,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_87.jpg,aic,"A warrior sits on a block and gestures; two figure are behind him, from Figurine series",Salvator Rosa,1656.0,,unknown,,,87.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/86cecc57-ac83-ef3e-dd8f-7f24fce0effb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/87,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_138.jpg,aic,Flower Girl in Holland,George Hitchcock,1887.0,,unknown,,,138.0,2.0,1.0,0.0,0.88,"https://www.artic.edu/iiif/2/e72305c9-1a1c-8a36-7450-582619366338/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/138,Potter Palmer Collection,Arts of the Americas,"['painting', 'american arts']",['Impressionism'],"['painting', 'oil paint (paint)', 'Impressionism', 'landscapes', 'organic material', 'american arts', 'countryside', 'women', 'flowers', 'Holland', 'Chicago']",['Arts of the Americas']
aic_142.jpg,aic,Portrait of Philibert Orrey,François Bernard Lépicié,1737.0,,unknown,,,142.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/14fc8342-1018-c621-82c3-f9ee60e6f81c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/142,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_146.jpg,aic,Portrait of D. Hieronymous van Beverningk,Abraham Blooteling,1660.0,,unknown,,,146.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/2db1f9d1-91da-d8be-5c39-9cda2cfa729d/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/146,Gift of Elizabeth Hammond Stickney,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings']
aic_153.jpg,aic,The Lost Pleiade,Randolph Rogers,1874.0,,unknown,,,153.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/f9549068-ad7e-c9ce-6fed-5c7a429024fb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/153,Gift of Mrs. E. S. Stickney,Arts of the Americas,"['sculpture', 'american arts']",[],"['sculpture', 'marble', 'mythology', 'metamorphic rock', 'rock', 'inorganic material', 'american arts', 'female figures', 'people', 'portraits']",['Arts of the Americas']
aic_155.jpg,aic,Mastoid (Drinking Cup),Leafless Group,-500.0,,unknown,,,155.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/4b94ea8b-0bb7-e063-1535-969c0373ccce/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/155,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']",['black-figure'],"['drinking vessel', 'terracotta', 'ceramics', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium']
aic_160.jpg,aic,Pyxis (Container for Personal Objects),Ancient Greek,-550.0,,unknown,,,160.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/e0db998b-5586-aa1f-e2cd-913904656247/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/160,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['ceramics', 'vessel', 'ancient art']",['black-figure'],"['ceramics', 'terracotta', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium']
aic_162.jpg,aic,Hydria (Water Jar),Ancient Greek,-515.0,,unknown,,,162.0,2.0,1.0,0.0,0.83,"https://www.artic.edu/iiif/2/4a81239a-1bb6-d899-03f8-ee4a88e3a8f8/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/162,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art']","['archaic (greek)', 'attic', 'black-figure']","['terracotta', 'throwing (pottery technique)', 'archaic (greek)', 'vessel', 'mythological figures', 'earthenware', 'ceramic', 'inorganic material', 'attic', 'black-figure', 'ceramics', 'ancient art', 'drinking', 'Heracles', 'Aphrodite']",['Arts of the Ancient Mediterranean and Byzantium']
